fold,model,segment,mae,rmse,median_ae,r2,rmsle,wape,mean_error,negative_prediction_n
fold_2,dummy_median,at_or_below_training_p90,147250.1211904762,178937.399772056,133500.0,-0.0010356607597596934,0.4261813970212019,0.3161532447836043,-5755.5271693121695,0
fold_2,elastic_log_both_9,above_training_p90,232447.37885167057,316190.1061913379,177095.0641471641,-0.3982886994252035,0.29505838057779027,0.1949110306554213,-189321.10345401108,0
fold_2,elastic_log_both_9,above_training_p99,1072456.4150029023,1296210.8995345852,832656.3561632351,0.3678506659151589,0.7124981124906034,0.3433273336859491,-1072456.4150029023,0
fold_2,elastic_log_both_9,at_or_below_training_p90,70003.34531494691,102248.97077953268,48798.1314565895,0.6731374269534155,0.22723979054571522,0.1503006217454918,-4015.969745857146,0
fold_2,extra_trees_log_9,above_training_p90,259251.96391680773,337204.739434357,181555.85530867148,-0.5903314041945558,0.3088022793956624,0.21738712536187385,-200327.81646830888,0
fold_2,extra_trees_log_9,above_training_p99,1663480.688572817,2265150.8586214045,1131236.925383332,-0.9304680098400782,0.8843969380829793,0.5325329602734732,-1663480.688572817,0
fold_2,extra_trees_log_9,at_or_below_training_p90,78274.94037092323,118725.19340927513,54973.21389385247,0.5593101212289439,0.2520896522084001,0.16806014272476602,113.79660930444835,0
fold_2,gradient_boosting_log_9,above_training_p90,469872.9664788651,527104.2638754211,420475.7584308719,-2.88591550981525,0.5362748909264778,0.393996372968168,-469872.9664788651,0
fold_2,gradient_boosting_log_9,above_training_p99,2288127.7613266534,2779379.509691255,1773038.8821141194,-1.906457987576161,1.3129755214147163,0.7325023119256122,-2288127.7613266534,0
fold_2,gradient_boosting_log_9,at_or_below_training_p90,104066.54629426327,132068.75525240213,88482.6064653587,0.45468496225632493,0.31548611396744936,0.22343598781691507,-5845.592205031931,0
fold_2,hist_gradient_boosting_log_9,above_training_p90,276804.2763298947,345056.1975070138,234569.0895751256,-0.6652519818366982,0.3210816889914325,0.2321050340761891,-236794.7264814627,0
fold_2,hist_gradient_boosting_log_9,above_training_p99,1820093.2198461744,2344019.1038127663,1309283.1427010926,-1.0672387658915077,0.9487663108913544,0.582669601755303,-1820093.2198461744,0
fold_2,hist_gradient_boosting_log_9,at_or_below_training_p90,77214.05711112745,110749.91399254516,57465.319971322344,0.6165276101562452,0.24399679539450486,0.16578237424342682,-4198.886379096165,0
fold_2,huber_log_both_9,above_training_p90,217251.16805363822,301908.110844736,173417.5736930722,-0.274822899923856,0.27995103813292405,0.18216875271133842,-173035.3884334783,0
fold_2,huber_log_both_9,above_training_p99,1109696.3352449257,1361769.3428267161,762370.0671480617,0.30228918911605207,0.6790864324581098,0.3552490139934297,-1109696.3352449257,0
fold_2,huber_log_both_9,at_or_below_training_p90,69159.71604762578,101456.42548146233,47821.09930516171,0.6781848991156922,0.22839970811908497,0.1484893082599635,2067.062174910581,0
fold_2,lasso_log_both_9,above_training_p90,233318.41073651714,316528.69587609975,175528.19465686125,-0.40128499572732323,0.2955406395264657,0.1956414055181016,-191035.89237607902,0
fold_2,lasso_log_both_9,above_training_p99,1071829.5279436696,1294375.6594112199,842588.4406602895,0.36963945588150104,0.713977651298512,0.34312664724353736,-1071829.5279436696,0
fold_2,lasso_log_both_9,at_or_below_training_p90,70078.83357674122,102254.83005751389,48644.997204394196,0.6730999647953858,0.22746036347732057,0.15046269875239948,-4184.197703175734,0
fold_2,ols_log_zip_9,above_training_p90,250910.1950826621,338791.0639894377,181012.89380744565,-0.6053295075340897,0.3400676338494967,0.21039241211113802,-215333.64617852448,0
